Sprint	Title	URL	Assignees	Status	Task Type	Nature	Priority	Estimated time	Actual time
	User is able to download grocery list of missing ingredients			Product Backlog	Backend	User Story	P2		
	Fixing Code Complexity	https://github.com/feedme-swent-epfl/feedme-android/issues/204	mche3kek	Product Backlog	Backend	Maintenance	P1	5	
	Google ML Kit : Image Labeling	https://github.com/feedme-swent-epfl/feedme-android/issues/64	JeannedeM	Product Backlog	Backend	Sprint Task	P2	12	
Sprint 10	UI : add profile picture of user in the settings screen	https://github.com/feedme-swent-epfl/feedme-android/issues/214		Product Backlog	Frontend	Sprint Task	P2	2	
	User is able to see personalized recipes suggestions			Sprint Backlog	Backend	User Story	P1		
	User is able to take a picture of a handwritten text to identify ingredients			Sprint Backlog	Backend	User Story	P2		
	User is able to use pictures to identify ingredients			Sprint Backlog	Backend	User Story	P2		
	User is able to rate, comment recipes, and provide feedback to users			Sprint Backlog	Backend	User Story	P0		
	User is able to use the app in offline mode			Sprint Backlog	Backend	User Story	P1		
	User is able to  generate recipe based on inputed ingredient			Sprint Backlog	Backend	User Story	P0		
	User can upload a recipe			Done in Sprint 8	Backend	User Story	P0		
	User can save a recipe			Done in Sprint 8		User Story	P1		
	User is able to search recipes			Done in Sprint 8	Backend	User Story	P0		
Sprint 8	User is able to look for profiles with search bar			Done in Sprint 8	Backend	User Story	P0		
Sprint 8	Fix UI for input ingredient screen	https://github.com/feedme-swent-epfl/feedme-android/issues/179	ohamz	Done in Sprint 8	Frontend	Sprint Task	P1	7	5.5
Sprint 8	Research about how to label data for the recommendation algorithm	https://github.com/feedme-swent-epfl/feedme-android/issues/162	fdejean	Done in Sprint 8	Backend	Sprint Task	P1	7	5
Sprint 8	Fix InputViewModel : Adding/Suggest Ingredients	https://github.com/feedme-swent-epfl/feedme-android/issues/181	FacerOfGod	Done in Sprint 8	Backend	Sprint Task	P1	10	28
Sprint 7	UI for recipe creation	https://github.com/feedme-swent-epfl/feedme-android/issues/140	mche3kek	Done in Sprint 8	Frontend	Sprint Task	P0	6	8.5
Sprint 8	Link the gallery in camera screen to the real phone Gallery	https://github.com/feedme-swent-epfl/feedme-android/issues/184	mche3kek	Done in Sprint 8	Backend	Sprint Task	P1	4	5
