Sprint	Title	URL	Assignees	Status	Task Type	Nature	Priority	Estimated time	Actual time
Sprint 10	Fix profile picture and photo picker issues	https://github.com/feedme-swent-epfl/feedme-android/issues/207	mche3kek	Done in Sprint 10	Backend	Maintenance	P0	5	7.5
Sprint 10	UI : display screen for generate recipe base on inputed ingredients	https://github.com/feedme-swent-epfl/feedme-android/issues/192	ohamz	Done in Sprint 10	Frontend	Sprint Task	P0	4	5
Sprint 10	Search screen fix	https://github.com/feedme-swent-epfl/feedme-android/issues/246	ohamz	Done in Sprint 10	Backend	Sprint Task	P1	2	3
Sprint 10	Work on scenario of demo	https://github.com/feedme-swent-epfl/feedme-android/issues/239	0marwa, FacerOfGod, fdejean, JeannedeM, mche3kek, ohamz, xrsula	Done in Sprint 10	Research	Sprint Task	P2	4	4
Sprint 10	Fix the recipe display of recipes created by someone on their profile	https://github.com/feedme-swent-epfl/feedme-android/issues/244	0marwa	Done in Sprint 10	Frontend	Sprint Task	P0	3	0
Sprint 10	UI : add profile picture of user in the settings screen	https://github.com/feedme-swent-epfl/feedme-android/issues/214	mche3kek	Done in Sprint 10	Frontend	Sprint Task	P2	2	0.25
Sprint 10	Cleaning up the IngredientList file	https://github.com/feedme-swent-epfl/feedme-android/issues/263	FacerOfGod	Done in Sprint 10	Backend	Maintenance	P1	7	6
Sprint 9	Adapt Input ingredient viewModel to have a fridge button	https://github.com/feedme-swent-epfl/feedme-android/issues/202	FacerOfGod	Done in Sprint 10	Backend	Sprint Task	P1	10	10
Sprint 10	 BOTA : Prepare 5 min pitch	https://github.com/feedme-swent-epfl/feedme-android/issues/248	FacerOfGod, JeannedeM	Done in Sprint 10	Research	Sprint Task	P0	4	5
Sprint 10	Small UI fixes part 2	https://github.com/feedme-swent-epfl/feedme-android/issues/257	JeannedeM, xrsula	Done in Sprint 10	Frontend	Maintenance	P1	5	5
Sprint 10	Fixing Code Complexity (except for IngredientList)	https://github.com/feedme-swent-epfl/feedme-android/issues/204	mche3kek	Done in Sprint 10	Backend	Maintenance	P1	5	0
Sprint 10	Fix : go though other issues in SonarCloud	https://github.com/feedme-swent-epfl/feedme-android/issues/247	xrsula	Done in Sprint 10	Backend	Maintenance	P0	4	6
Sprint 10	Dynamic Profile 	https://github.com/feedme-swent-epfl/feedme-android/issues/177	fdejean	Done in Sprint 10	Backend	Sprint Task	P0	7	7
Sprint 9	Research : do we add handwritten recognition or image recognition in ML part	https://github.com/feedme-swent-epfl/feedme-android/issues/200	JeannedeM	Done in Sprint 10	Research	Sprint Task	P2	2	2
Sprint 9	Add tags for recipe difficulty on recipe cards	https://github.com/feedme-swent-epfl/feedme-android/issues/198	0marwa	Done in Sprint 10	Backend	Sprint Task	P1	5	6
Sprint 10	Update Figma	https://github.com/feedme-swent-epfl/feedme-android/issues/240	xrsula	Done in Sprint 10	Figma	Maintenance	P1	5	6
