Sprint	Title	URL	Assignees	Status	Task Type	Nature	Priority	Estimated time	Actual time
Sprint 7	Research about how to label data for the recommendation algorithm		fdejean	Sprint Backlog	Backend	Sprint Task	P1	8	
Sprint 7	Clean up of MLkit implementation	https://github.com/feedme-swent-epfl/feedme-android/issues/143	JeannedeM	Sprint Backlog	Backend	Maintenance	P1	6	
Sprint 7	Parsing json files for filtering	https://github.com/feedme-swent-epfl/feedme-android/issues/144	JeannedeM	Sprint Backlog	Backend	Sprint Task	P0	7	
Sprint 7	Reflexion on how to uniformize the ingredients inputted in the FindRecipe page 	https://github.com/feedme-swent-epfl/feedme-android/issues/145	xrsula	Sprint Backlog	Figma	Sprint Task	P1	5	
Sprint 7	TextProcessing for Text Recognition		FacerOfGod	Sprint Backlog	Backend	Sprint Task	P0	6	
Sprint 7	User can comment and save the recipe			Sprint Backlog	Backend	User Story	P1		
	ViewModel for the comments	https://github.com/feedme-swent-epfl/feedme-android/issues/97	0marwa	Sprint Backlog	Backend	Sprint Task	P2	5	
	User is able to upload and share his own recipes			Sprint Backlog	Backend	User Story	P0		
Sprint 7	UI for recipe creation	https://github.com/feedme-swent-epfl/feedme-android/issues/140	fdejean	Sprint Backlog	Frontend	Sprint Task	P0	8	
Sprint 7	UI for Recipe Step Creation	https://github.com/feedme-swent-epfl/feedme-android/issues/141	fdejean	Sprint Backlog	Frontend	Sprint Task	P0	4	
Sprint 7	ViewModel for Input of recipe Step Creation	https://github.com/feedme-swent-epfl/feedme-android/issues/146	fdejean	In Development	Backend	Sprint Task	P0	4	
Sprint 7	ViewModel for recipe creation		mche3kek	Sprint Backlog	Backend	Sprint Task	P1	6	
Sprint 7	Fix profile picture issue		mche3kek	Sprint Backlog	Backend	Maintenance	P0	3.5	
Sprint 7	Fix Camera bug 	https://github.com/feedme-swent-epfl/feedme-android/issues/139	ohamz	Sprint Backlog	Frontend	Maintenance	P1	2	
Sprint 7	Prepare demo		mche3kek	Sprint Backlog		Maintenance	P2	0.5	
	User can customize his profile			Done in Sprint 4	Backend	User Story	P0		
	User can navigate through the app			Done in Sprint 4	Backend	User Story	P0		
Sprint 4	Write a scrapping script for recipes + ingredients	https://github.com/feedme-swent-epfl/feedme-android/issues/62	xrsula	Done in Sprint 4	Backend	Sprint Task	P0	15	15
Sprint 4	Update the UI of the Landing Page	https://github.com/feedme-swent-epfl/feedme-android/issues/77	0marwa	Done in Sprint 4	Frontend	Sprint Task	P0	4	4.5
Sprint 4	Follower/Following UI	https://github.com/feedme-swent-epfl/feedme-android/issues/67	fdejean	Done in Sprint 4	Frontend	Sprint Task	P1	4	5
Sprint 4	ViewModel for Follower/Following page	https://github.com/feedme-swent-epfl/feedme-android/issues/68	fdejean	Done in Sprint 4	Backend	Sprint Task	P2	6	5
Sprint 4	Code logic to edit user profile info	https://github.com/feedme-swent-epfl/feedme-android/issues/66	fdejean	Done in Sprint 4	Backend	Sprint Task	P0	6	10
Sprint 4	Mock a successful login in the tests	https://github.com/feedme-swent-epfl/feedme-android/issues/59	mche3kek, ohamz	Done in Sprint 4	Backend	Sprint Task	P1	6	8
Sprint 4	UI for displaying the full recipe page	https://github.com/feedme-swent-epfl/feedme-android/issues/57	JeannedeM	Done in Sprint 4	Frontend	Sprint Task	P0	10	8
